Tipo aloxamento,Ano,Establecementos,,,
Hoteis,2003,582,GALICIA,,
Hoteis,2004,630,GALICIA,,
Hoteis,2005,678,GALICIA,,
Hoteis,2006,722,GALICIA,,
Hoteis,2007,767,GALICIA,,
Hoteis,2008,810,GALICIA,,
Hoteis,2009,839,GALICIA,,
Hoteis,2010,855,GALICIA,,
Hoteis,2011,875,GALICIA,,
Hoteis,2012,889,GALICIA,,
Hoteis,2013,894,GALICIA,,
Hoteis,2017,887,GALICIA,,
Hoteis,2018,893,GALICIA,,
Hoteis,2019,902,GALICIA,,
Hoteis,2020,911,GALICIA,,
Hoteis,2021,912,GALICIA,,
Hoteis,2022,927,GALICIA,,
Pensions,2003,NA,GALICIA,,
Pensions,2004,NA,GALICIA,,
Pensions,2005,NA,GALICIA,,
Pensions,2006,NA,GALICIA,,
Pensions,2007,NA,GALICIA,,
Pensions,2008,NA,GALICIA,,
Pensions,2009,1093,GALICIA,,
Pensions,2010,1116,GALICIA,,
Pensions,2011,1161,GALICIA,,
Pensions,2012,1319,GALICIA,,
Pensions,2013,1261,GALICIA,,
Pensions,2017,1139,GALICIA,,
Pensions,2018,1167,GALICIA,,
Pensions,2019,1210,GALICIA,,
Pensions,2020,1264,GALICIA,,
Pensions,2021,1300,GALICIA,,
Pensions,2022,1315,GALICIA,,
Albergues turisticos,2003,NA,GALICIA,,
Albergues turisticos,2004,NA,GALICIA,,
Albergues turisticos,2005,NA,GALICIA,,
Albergues turisticos,2006,NA,GALICIA,,
Albergues turisticos,2007,NA,GALICIA,,
Albergues turisticos,2008,NA,GALICIA,,
Albergues turisticos,2009,NA,GALICIA,,
Albergues turisticos,2010,NA,GALICIA,,
Albergues turisticos,2011,NA,GALICIA,,
Albergues turisticos,2012,108,GALICIA,,
Albergues turisticos,2013,135,GALICIA,,
Albergues turisticos,2017,315,GALICIA,,
Albergues turisticos,2018,360,GALICIA,,
Albergues turisticos,2019,396,GALICIA,,
Albergues turisticos,2020,419,GALICIA,,
Albergues turisticos,2021,441,GALICIA,,
Albergues turisticos,2022,461,GALICIA,,
Turismo rural,2003,442,GALICIA,,
Turismo rural,2004,468,GALICIA,,
Turismo rural,2005,474,GALICIA,,
Turismo rural,2006,521,GALICIA,,
Turismo rural,2007,540,GALICIA,,
Turismo rural,2008,575,GALICIA,,
Turismo rural,2009,587,GALICIA,,
Turismo rural,2010,586,GALICIA,,
Turismo rural,2011,593,GALICIA,,
Turismo rural,2012,600,GALICIA,,
Turismo rural,2013,600,GALICIA,,
Turismo rural,2017,575,GALICIA,,
Turismo rural,2018,574,GALICIA,,
Turismo rural,2019,566,GALICIA,,
Turismo rural,2020,560,GALICIA,,
Turismo rural,2021,550,GALICIA,,
Turismo rural,2022,541,GALICIA,,
Campamentos de turismo,2003,111,GALICIA,,
Campamentos de turismo,2004,113,GALICIA,,
Campamentos de turismo,2005,110,GALICIA,,
Campamentos de turismo,2006,114,GALICIA,,
Campamentos de turismo,2007,113,GALICIA,,
Campamentos de turismo,2008,114,GALICIA,,
Campamentos de turismo,2009,115,GALICIA,,
Campamentos de turismo,2010,115,GALICIA,,
Campamentos de turismo,2011,115,GALICIA,,
Campamentos de turismo,2012,116,GALICIA,,
Campamentos de turismo,2013,116,GALICIA,,
Campamentos de turismo,2017,116,GALICIA,,
Campamentos de turismo,2018,115,GALICIA,,
Campamentos de turismo,2019,117,GALICIA,,
Campamentos de turismo,2020,124,GALICIA,,
Campamentos de turismo,2021,129,GALICIA,,
Campamentos de turismo,2022,139,GALICIA,,
Apartamentos turisticos,2003,NA,GALICIA,,
Apartamentos turisticos,2004,NA,GALICIA,,
Apartamentos turisticos,2005,NA,GALICIA,,
Apartamentos turisticos,2006,73,GALICIA,,
Apartamentos turisticos,2007,88,GALICIA,,
Apartamentos turisticos,2008,98,GALICIA,,
Apartamentos turisticos,2009,114,GALICIA,,
Apartamentos turisticos,2010,120,GALICIA,,
Apartamentos turisticos,2011,122,GALICIA,,
Apartamentos turisticos,2012,144,GALICIA,,
Apartamentos turisticos,2013,131,GALICIA,,
Apartamentos turisticos,2017,213,GALICIA,,
Apartamentos turisticos,2018,236,GALICIA,,
Apartamentos turisticos,2019,258,GALICIA,,
Apartamentos turisticos,2020,287,GALICIA,,
Apartamentos turisticos,2021,314,GALICIA,,
Apartamentos turisticos,2022,350,GALICIA,,
Vivendas turisticas,2003,NA,GALICIA,,
Vivendas turisticas,2004,NA,GALICIA,,
Vivendas turisticas,2005,NA,GALICIA,,
Vivendas turisticas,2006,NA,GALICIA,,
Vivendas turisticas,2007,NA,GALICIA,,
Vivendas turisticas,2008,NA,GALICIA,,
Vivendas turisticas,2009,NA,GALICIA,,
Vivendas turisticas,2010,NA,GALICIA,,
Vivendas turisticas,2011,NA,GALICIA,,
Vivendas turisticas,2012,NA,GALICIA,,
