Periodo;Provincia;Total Regimenes(RG+RETA) TODAS LAS SECCIONES;REGIMEN GENERAL TODAS LAS SECCIONES;REG. ESP. AUTONOMOS TODAS LAS SECCIONES;Ano
200901;15. Coruña, A;417479.70;325125.05;92354.65;2009
200901;27. Lugo;122904.85;82399.35;40505.50;2009
200901;32. Ourense;104801.90;76839.80;27962.10;2009
200901;36. Pontevedra;340104.30;268814.60;71289.70;2009
200902;15. Coruña, A;417771.15;325760.40;92010.75;2009
200902;27. Lugo;122695.60;82344.80;40350.80;2009
200902;32. Ourense;104681.75;76800.10;27881.65;2009
200902;36. Pontevedra;338210.60;267296.05;70914.55;2009
200903;15. Coruña, A;417023.05;325163.14;91859.91;2009
200903;27. Lugo;122665.00;82380.77;40284.23;2009
200903;32. Ourense;104656.45;76819.95;27836.50;2009
200903;36. Pontevedra;337273.27;266573.32;70699.95;2009
200904;15. Coruña, A;415457.15;323835.95;91621.20;2009
200904;27. Lugo;122532.85;82319.05;40213.80;2009
200904;32. Ourense;104597.10;76809.70;27787.40;2009
200904;36. Pontevedra;337009.95;266428.30;70581.65;2009
200905;15. Coruña, A;415805.05;324417.25;91387.80;2009
200905;27. Lugo;122808.15;82688.60;40119.55;2009
200905;32. Ourense;104785.45;77040.05;27745.40;2009
200905;36. Pontevedra;338474.95;268033.40;70441.55;2009
200906;15. Coruña, A;416703.59;325476.95;91226.64;2009
200906;27. Lugo;123073.05;83066.50;40006.55;2009
200906;32. Ourense;105117.18;77426.41;27690.77;2009
200906;36. Pontevedra;339791.00;269379.50;70411.50;2009
200907;15. Coruña, A;421008.04;330090.96;90917.09;2009
200907;27. Lugo;125053.09;85111.78;39941.30;2009
200907;32. Ourense;106769.43;79146.43;27623.00;2009
200907;36. Pontevedra;344744.87;274302.83;70442.04;2009
200908;15. Coruña, A;420542.05;329861.48;90680.57;2009
200908;27. Lugo;125517.57;85641.29;39876.29;2009
200908;32. Ourense;106842.90;79263.95;27578.95;2009
200908;36. Pontevedra;344389.48;274025.33;70364.14;2009
200909;15. Coruña, A;417139.59;326570.50;90569.09;2009
200909;27. Lugo;124008.68;84197.68;39811.00;2009
200909;32. Ourense;106321.36;78779.45;27541.91;2009
200909;36. Pontevedra;341622.95;271463.77;70159.18;2009
200910;15. Coruña, A;415668.10;325255.10;90413.00;2009
200910;27. Lugo;123001.95;83301.57;39700.38;2009
200910;32. Ourense;105380.00;77924.10;27455.90;2009
200910;36. Pontevedra;337984.48;268207.33;69777.14;2009
200911;15. Coruña, A;415181.57;324979.10;90202.48;2009
200911;27. Lugo;122491.52;82956.14;39535.38;2009
200911;32. Ourense;104899.29;77539.10;27360.19;2009
200911;36. Pontevedra;335898.19;266382.05;69516.14;2009
200912;15. Coruña, A;412251.84;322287.05;89964.79;2009
200912;27. Lugo;121798.53;82465.26;39333.26;2009
200912;32. Ourense;104385.21;77142.79;27242.42;2009
200912;36. Pontevedra;332995.58;263681.95;69313.63;2009
201001;15. Coruña, A;406228.95;316656.79;89572.16;2010
201001;27. Lugo;119761.11;80601.58;39159.53;2010
201001;32. Ourense;102431.16;75282.26;27148.89;2010
201001;36. Pontevedra;326777.26;257739.16;69038.11;2010
201002;15. Coruña, A;407649.05;318360.65;89288.40;2010
201002;27. Lugo;119780.50;80800.90;38979.60;2010
201002;32. Ourense;102690.45;75692.80;26997.65;2010
201002;36. Pontevedra;326787.40;258109.60;68677.80;2010
201003;15. Coruña, A;408760.04;319582.87;89177.17;2010
201003;27. Lugo;120009.91;81057.39;38952.52;2010
201003;32. Ourense;102786.30;75858.65;26927.65;2010
201003;36. Pontevedra;326865.26;258221.96;68643.30;2010
201004;15. Coruña, A;409673.35;320582.40;89090.95;2010
201004;27. Lugo;120175.35;81304.45;38870.90;2010
201004;32. Ourense;102821.45;75925.45;26896.00;2010
201004;36. Pontevedra;326477.25;257836.60;68640.65;2010
201005;15. Coruña, A;411641.48;322640.19;89001.29;2010
201005;27. Lugo;120682.71;81881.90;38800.81;2010
201005;32. Ourense;102974.24;76067.48;26906.76;2010
201005;36. Pontevedra;328386.10;259715.19;68670.90;2010
201006;15. Coruña, A;412534.32;323515.95;89018.36;2010
201006;27. Lugo;121045.00;82273.73;38771.27;2010
201006;32. Ourense;103326.59;76377.14;26949.45;2010
201006;36. Pontevedra;331057.91;262207.45;68850.45;2010
201007;15. Coruña, A;415985.95;327146.68;88839.27;2010
201007;27. Lugo;122963.77;84206.09;38757.68;2010
201007;32. Ourense;104889.77;77916.18;26973.59;2010
201007;36. Pontevedra;335987.45;266970.91;69016.55;2010
201008;15. Coruña, A;415818.14;327215.82;88602.32;2010
201008;27. Lugo;123156.05;84512.36;38643.68;2010
201008;32. Ourense;105321.32;78394.86;26926.45;2010
201008;36. Pontevedra;336113.95;267273.59;68840.36;2010
201009;15. Coruña, A;412093.91;323720.91;88373.00;2010
201009;27. Lugo;121509.00;82950.91;38558.09;2010
201009;32. Ourense;104574.45;77721.00;26853.45;2010
