;Hoteleiros;Turismo rural;
2000/Xaneiro;1690;..;A Coruña
2000/Febreiro;1724;..;A Coruña
2000/Marzo;1784;..;A Coruña
2000/Abril;1872;..;A Coruña
2000/Maio;1897;..;A Coruña
2000/Xuño;1970;..;A Coruña
2000/Xullo;2137;..;A Coruña
2000/Agosto;2177;..;A Coruña
2000/Setembro;2080;..;A Coruña
2000/Outubro;1916;..;A Coruña
2000/Novembro;1823;..;A Coruña
2000/Decembro;1783;..;A Coruña
2001/Xaneiro;1860;..;A Coruña
2001/Febreiro;1763;..;A Coruña
2001/Marzo;1817;..;A Coruña
2001/Abril;1909;..;A Coruña
2001/Maio;1856;..;A Coruña
2001/Xuño;2196;..;A Coruña
2001/Xullo;2238;..;A Coruña
2001/Agosto;2327;..;A Coruña
2001/Setembro;2109;..;A Coruña
2001/Outubro;1875;..;A Coruña
2001/Novembro;1930;..;A Coruña
2001/Decembro;1894;..;A Coruña
2002/Xaneiro;1655;..;A Coruña
2002/Febreiro;1768;..;A Coruña
2002/Marzo;2004;..;A Coruña
2002/Abril;2058;..;A Coruña
2002/Maio;2043;..;A Coruña
2002/Xuño;2063;..;A Coruña
2002/Xullo;2307;..;A Coruña
2002/Agosto;2511;..;A Coruña
2002/Setembro;2291;..;A Coruña
2002/Outubro;2139;..;A Coruña
2002/Novembro;2083;..;A Coruña
2002/Decembro;1965;..;A Coruña
2003/Xaneiro;1896;..;A Coruña
2003/Febreiro;2060;..;A Coruña
2003/Marzo;2107;..;A Coruña
2003/Abril;2266;..;A Coruña
2003/Maio;2331;..;A Coruña
2003/Xuño;2433;..;A Coruña
2003/Xullo;2784;..;A Coruña
2003/Agosto;2815;..;A Coruña
2003/Setembro;2690;..;A Coruña
2003/Outubro;2487;..;A Coruña
2003/Novembro;2390;..;A Coruña
2003/Decembro;2251;..;A Coruña
2004/Xaneiro;2145;..;A Coruña
2004/Febreiro;2272;..;A Coruña
2004/Marzo;2311;..;A Coruña
2004/Abril;2469;..;A Coruña
2004/Maio;2539;..;A Coruña
2004/Xuño;2610;..;A Coruña
2004/Xullo;2839;..;A Coruña
2004/Agosto;3035;..;A Coruña
