;Hoteleiros;Turismo rural;
2000/Xaneiro;663;..;Lugo
2000/Febreiro;606;..;Lugo
2000/Marzo;618;..;Lugo
2000/Abril;638;..;Lugo
2000/Maio;659;..;Lugo
2000/Xuño;699;..;Lugo
2000/Xullo;804;..;Lugo
2000/Agosto;881;..;Lugo
2000/Setembro;763;..;Lugo
2000/Outubro;727;..;Lugo
2000/Novembro;697;..;Lugo
2000/Decembro;677;..;Lugo
2001/Xaneiro;669;..;Lugo
2001/Febreiro;648;..;Lugo
2001/Marzo;666;..;Lugo
2001/Abril;672;..;Lugo
2001/Maio;686;..;Lugo
2001/Xuño;721;..;Lugo
2001/Xullo;757;..;Lugo
2001/Agosto;787;..;Lugo
2001/Setembro;684;..;Lugo
2001/Outubro;650;..;Lugo
2001/Novembro;613;..;Lugo
2001/Decembro;570;..;Lugo
2002/Xaneiro;575;..;Lugo
2002/Febreiro;603;..;Lugo
2002/Marzo;631;..;Lugo
2002/Abril;639;..;Lugo
2002/Maio;664;..;Lugo
2002/Xuño;696;..;Lugo
2002/Xullo;776;..;Lugo
2002/Agosto;837;..;Lugo
2002/Setembro;700;..;Lugo
2002/Outubro;683;..;Lugo
2002/Novembro;637;..;Lugo
2002/Decembro;620;..;Lugo
2003/Xaneiro;579;..;Lugo
2003/Febreiro;636;..;Lugo
2003/Marzo;623;..;Lugo
2003/Abril;628;..;Lugo
2003/Maio;649;..;Lugo
2003/Xuño;733;..;Lugo
2003/Xullo;778;..;Lugo
2003/Agosto;850;..;Lugo
2003/Setembro;786;..;Lugo
2003/Outubro;780;..;Lugo
2003/Novembro;737;..;Lugo
2003/Decembro;661;..;Lugo
2004/Xaneiro;620;..;Lugo
2004/Febreiro;643;..;Lugo
2004/Marzo;750;..;Lugo
2004/Abril;801;..;Lugo
2004/Maio;799;..;Lugo
2004/Xuño;847;..;Lugo
2004/Xullo;939;..;Lugo
2004/Agosto;1000;..;Lugo
2004/Setembro;863;..;Lugo
2004/Outubro;829;..;Lugo
2004/Novembro;746;..;Lugo
2004/Decembro;708;..;Lugo
2005/Xaneiro;689;166;Lugo
2005/Febreiro;715;187;Lugo
2005/Marzo;834;192;Lugo
2005/Abril;811;196;Lugo
2005/Maio;866;197;Lugo
2005/Xuño;937;192;Lugo
2005/Xullo;1059;213;Lugo
2005/Agosto;1053;226;Lugo
2005/Setembro;960;216;Lugo
2005/Outubro;881;214;Lugo
2005/Novembro;808;193;Lugo
2005/Decembro;790;186;Lugo
2006/Xaneiro;739;175;Lugo
2006/Febreiro;755;189;Lugo
2006/Marzo;791;217;Lugo
2006/Abril;863;226;Lugo
2006/Maio;876;218;Lugo
2006/Xuño;928;219;Lugo
2006/Xullo;995;248;Lugo
2006/Agosto;1206;285;Lugo
2006/Setembro;945;265;Lugo
2006/Outubro;853;229;Lugo
2006/Novembro;787;221;Lugo
2006/Decembro;741;210;Lugo
2007/Xaneiro;745;206;Lugo
2007/Febreiro;801;212;Lugo
2007/Marzo;852;230;Lugo
2007/Abril;880;248;Lugo
2007/Maio;888;256;Lugo
2007/Xuño;918;269;Lugo
2007/Xullo;1028;280;Lugo
2007/Agosto;1041;291;Lugo
2007/Setembro;992;277;Lugo
2007/Outubro;934;255;Lugo
2007/Novembro;909;246;Lugo
2007/Decembro;919;231;Lugo
2008/Xaneiro;781;180;Lugo
2008/Febreiro;881;217;Lugo
2008/Marzo;926;234;Lugo
2008/Abril;959;231;Lugo
2008/Maio;1003;249;Lugo
2008/Xuño;1028;233;Lugo
2008/Xullo;1123;260;Lugo
2008/Agosto;1173;259;Lugo
2008/Setembro;1052;249;Lugo
2008/Outubro;990;244;Lugo
2008/Novembro;947;231;Lugo
2008/Decembro;887;218;Lugo
2009/Xaneiro;743;183;Lugo
2009/Febreiro;835;217;Lugo
2009/Marzo;896;238;Lugo
2009/Abril;962;257;Lugo
2009/Maio;983;251;Lugo
2009/Xuño;1001;265;Lugo
2009/Xullo;1072;275;Lugo
2009/Agosto;1135;292;Lugo
2009/Setembro;1067;269;Lugo
2009/Outubro;1011;286;Lugo
2009/Novembro;952;226;Lugo
2009/Decembro;899;211;Lugo
2010/Xaneiro;698;211;Lugo
2010/Febreiro;786;216;Lugo
2010/Marzo;894;243;Lugo
2010/Abril;937;260;Lugo
2010/Maio;978;258;Lugo
2010/Xuño;1008;254;Lugo
2010/Xullo;1113;275;Lugo
2010/Agosto;1130;287;Lugo
2010/Setembro;1044;266;Lugo
2010/Outubro;976;253;Lugo
2010/Novembro;915;229;Lugo
2010/Decembro;866;212;Lugo
2011/Xaneiro;673;174;Lugo
2011/Febreiro;806;194;Lugo
2011/Marzo;844;220;Lugo
2011/Abril;1024;244;Lugo
