;Hoteleiros;Turismo rural;
2000/Xaneiro;1484;..;Pontevedra
2000/Febreiro;1477;..;Pontevedra
2000/Marzo;1507;..;Pontevedra
2000/Abril;1781;..;Pontevedra
2000/Maio;1791;..;Pontevedra
2000/Xuño;2268;..;Pontevedra
2000/Xullo;3297;..;Pontevedra
2000/Agosto;3554;..;Pontevedra
2000/Setembro;2992;..;Pontevedra
2000/Outubro;2106;..;Pontevedra
2000/Novembro;1890;..;Pontevedra
2000/Decembro;1690;..;Pontevedra
2001/Xaneiro;1560;..;Pontevedra
2001/Febreiro;1674;..;Pontevedra
2001/Marzo;1699;..;Pontevedra
2001/Abril;1882;..;Pontevedra
2001/Maio;1947;..;Pontevedra
2001/Xuño;2379;..;Pontevedra
2001/Xullo;3547;..;Pontevedra
2001/Agosto;3791;..;Pontevedra
2001/Setembro;3112;..;Pontevedra
2001/Outubro;2234;..;Pontevedra
2001/Novembro;1886;..;Pontevedra
2001/Decembro;1667;..;Pontevedra
2002/Xaneiro;1677;..;Pontevedra
2002/Febreiro;1716;..;Pontevedra
2002/Marzo;1993;..;Pontevedra
2002/Abril;2153;..;Pontevedra
2002/Maio;2273;..;Pontevedra
2002/Xuño;2700;..;Pontevedra
2002/Xullo;3600;..;Pontevedra
2002/Agosto;3876;..;Pontevedra
2002/Setembro;3196;..;Pontevedra
2002/Outubro;2400;..;Pontevedra
2002/Novembro;2021;..;Pontevedra
2002/Decembro;1841;..;Pontevedra
2003/Xaneiro;1767;..;Pontevedra
2003/Febreiro;1796;..;Pontevedra
2003/Marzo;1839;..;Pontevedra
2003/Abril;2141;..;Pontevedra
2003/Maio;2289;..;Pontevedra
2003/Xuño;2694;..;Pontevedra
2003/Xullo;3758;..;Pontevedra
2003/Agosto;4070;..;Pontevedra
2003/Setembro;3458;..;Pontevedra
2003/Outubro;2351;..;Pontevedra
2003/Novembro;2040;..;Pontevedra
2003/Decembro;1842;..;Pontevedra
2004/Xaneiro;1774;..;Pontevedra
2004/Febreiro;1811;..;Pontevedra
2004/Marzo;2049;..;Pontevedra
2004/Abril;2439;..;Pontevedra
2004/Maio;2642;..;Pontevedra
2004/Xuño;3277;..;Pontevedra
2004/Xullo;4306;..;Pontevedra
2004/Agosto;4577;..;Pontevedra
2004/Setembro;3987;..;Pontevedra
2004/Outubro;2928;..;Pontevedra
2004/Novembro;2435;..;Pontevedra
2004/Decembro;1959;..;Pontevedra
2005/Xaneiro;1787;189;Pontevedra
2005/Febreiro;1940;210;Pontevedra
2005/Marzo;2258;228;Pontevedra
2005/Abril;2413;216;Pontevedra
2005/Maio;2693;236;Pontevedra
2005/Xuño;3190;239;Pontevedra
2005/Xullo;4365;254;Pontevedra
2005/Agosto;4659;283;Pontevedra
2005/Setembro;3960;264;Pontevedra
2005/Outubro;2898;234;Pontevedra
2005/Novembro;2485;223;Pontevedra
2005/Decembro;2301;224;Pontevedra
2006/Xaneiro;2085;190;Pontevedra
2006/Febreiro;2151;219;Pontevedra
2006/Marzo;2292;235;Pontevedra
2006/Abril;2725;240;Pontevedra
2006/Maio;2846;253;Pontevedra
2006/Xuño;3390;241;Pontevedra
2006/Xullo;4529;285;Pontevedra
2006/Agosto;4685;318;Pontevedra
2006/Setembro;3934;283;Pontevedra
2006/Outubro;2945;252;Pontevedra
2006/Novembro;2487;231;Pontevedra
2006/Decembro;2381;213;Pontevedra
2007/Xaneiro;2189;206;Pontevedra
2007/Febreiro;2164;234;Pontevedra
2007/Marzo;2449;257;Pontevedra
2007/Abril;2885;272;Pontevedra
2007/Maio;2919;258;Pontevedra
2007/Xuño;3543;282;Pontevedra
2007/Xullo;4557;308;Pontevedra
2007/Agosto;4703;335;Pontevedra
2007/Setembro;4086;303;Pontevedra
2007/Outubro;3248;276;Pontevedra
2007/Novembro;2669;264;Pontevedra
2007/Decembro;2476;245;Pontevedra
2008/Xaneiro;2101;230;Pontevedra
2008/Febreiro;2180;256;Pontevedra
2008/Marzo;2726;270;Pontevedra
2008/Abril;2778;269;Pontevedra
2008/Maio;2895;272;Pontevedra
2008/Xuño;3310;293;Pontevedra
2008/Xullo;4150;303;Pontevedra
2008/Agosto;4317;319;Pontevedra
2008/Setembro;3842;289;Pontevedra
2008/Outubro;3065;256;Pontevedra
2008/Novembro;2605;540;Pontevedra
2008/Decembro;2235;249;Pontevedra
2009/Xaneiro;1887;219;Pontevedra
2009/Febreiro;1991;237;Pontevedra
2009/Marzo;2228;273;Pontevedra
2009/Abril;2622;287;Pontevedra
2009/Maio;2691;288;Pontevedra
2009/Xuño;3057;298;Pontevedra
2009/Xullo;4008;317;Pontevedra
2009/Agosto;4168;325;Pontevedra
2009/Setembro;3615;295;Pontevedra
2009/Outubro;2914;274;Pontevedra
2009/Novembro;2385;266;Pontevedra
2009/Decembro;2127;241;Pontevedra
2010/Xaneiro;1891;236;Pontevedra
2010/Febreiro;1994;260;Pontevedra
2010/Marzo;2296;259;Pontevedra
2010/Abril;2733;284;Pontevedra
2010/Maio;2835;281;Pontevedra
2010/Xuño;3250;311;Pontevedra
2010/Xullo;4152;332;Pontevedra
2010/Agosto;4304;360;Pontevedra
2010/Setembro;3789;335;Pontevedra
2010/Outubro;3118;331;Pontevedra
2010/Novembro;2476;305;Pontevedra
2010/Decembro;2153;279;Pontevedra
2011/Xaneiro;1940;236;Pontevedra
2011/Febreiro;2067;244;Pontevedra
2011/Marzo;2294;260;Pontevedra
2011/Abril;2784;289;Pontevedra
2011/Maio;2918;295;Pontevedra
2011/Xuño;3267;306;Pontevedra
2011/Xullo;4267;320;Pontevedra
2011/Agosto;4483;339;Pontevedra
2011/Setembro;3776;300;Pontevedra
2011/Outubro;3088;279;Pontevedra
2011/Novembro;2586;270;Pontevedra
2011/Decembro;2231;260;Pontevedra
2012/Xaneiro;2040;231;Pontevedra
2012/Febreiro;2090;250;Pontevedra
2012/Marzo;2304;270;Pontevedra
2012/Abril;2529;282;Pontevedra
2012/Maio;2650;284;Pontevedra
2012/Xuño;2826;293;Pontevedra
2012/Xullo;3737;311;Pontevedra
2012/Agosto;4105;321;Pontevedra
2012/Setembro;3345;334;Pontevedra
2012/Outubro;2785;324;Pontevedra
2012/Novembro;2382;273;Pontevedra
2012/Decembro;2087;252;Pontevedra
2013/Xaneiro;1751;233;Pontevedra
2013/Febreiro;1750;250;Pontevedra
2013/Marzo;2169;269;Pontevedra
2013/Abril;2277;242;Pontevedra
2013/Maio;2330;261;Pontevedra
2013/Xuño;2560;280;Pontevedra
2013/Xullo;3543;281;Pontevedra
2013/Agosto;3836;305;Pontevedra
2013/Setembro;3300;272;Pontevedra
2013/Outubro;2634;260;Pontevedra
2013/Novembro;2141;236;Pontevedra
2013/Decembro;1893;242;Pontevedra
2014/Xaneiro;1647;195;Pontevedra
2014/Febreiro;1616;199;Pontevedra
2014/Marzo;1921;227;Pontevedra
2014/Abril;2222;238;Pontevedra
2014/Maio;2302;238;Pontevedra
2014/Xuño;2607;243;Pontevedra
2014/Xullo;3482;271;Pontevedra
2014/Agosto;3832;303;Pontevedra
2014/Setembro;3243;252;Pontevedra
2014/Outubro;2525;231;Pontevedra
2014/Novembro;2020;210;Pontevedra
2014/Decembro;1798;208;Pontevedra
2015/Xaneiro;1599;181;Pontevedra
2015/Febreiro;1656;187;Pontevedra
2015/Marzo;1823;203;Pontevedra
2015/Abril;2122;219;Pontevedra
2015/Maio;2185;220;Pontevedra
2015/Xuño;2680;258;Pontevedra
2015/Xullo;3513;282;Pontevedra
2015/Agosto;3648;284;Pontevedra
2015/Setembro;3080;249;Pontevedra
2015/Outubro;2382;241;Pontevedra
2015/Novembro;1896;202;Pontevedra
2015/Decembro;1666;197;Pontevedra
2016/Xaneiro;1472;178;Pontevedra
2016/Febreiro;1553;190;Pontevedra
2016/Marzo;1919;219;Pontevedra
2016/Abril;2014;214;Pontevedra
2016/Maio;2135;229;Pontevedra
2016/Xuño;2671;241;Pontevedra
2016/Xullo;3597;273;Pontevedra
2016/Agosto;3878;288;Pontevedra
2016/Setembro;3281;249;Pontevedra
2016/Outubro;2424;225;Pontevedra
2016/Novembro;1828;184;Pontevedra
2016/Decembro;1689;183;Pontevedra
2017/Xaneiro;1480;157;Pontevedra
2017/Febreiro;1619;155;Pontevedra
2017/Marzo;1697;171;Pontevedra
2017/Abril;2148;211;Pontevedra
2017/Maio;2231;222;Pontevedra
2017/Xuño;2959;232;Pontevedra
2017/Xullo;3916;285;Pontevedra
2017/Agosto;4063;279;Pontevedra
2017/Setembro;3424;248;Pontevedra
2017/Outubro;2681;227;Pontevedra
2017/Novembro;1893;181;Pontevedra
2017/Decembro;1768;185;Pontevedra
2018/Xaneiro;1441;174;Pontevedra
2018/Febreiro;1636;189;Pontevedra
2018/Marzo;1900;196;Pontevedra
2018/Abril;2127;199;Pontevedra
2018/Maio;2283;215;Pontevedra
2018/Xuño;2865;224;Pontevedra
2018/Xullo;3782;241;Pontevedra
2018/Agosto;4073;251;Pontevedra
2018/Setembro;3230;236;Pontevedra
2018/Outubro;2500;217;Pontevedra
2018/Novembro;1950;178;Pontevedra
2018/Decembro;1821;165;Pontevedra
2019/Xaneiro;1539;177;Pontevedra
2019/Febreiro;1676;184;Pontevedra
2019/Marzo;1858;190;Pontevedra
2019/Abril;2347;219;Pontevedra
2019/Maio;2385;229;Pontevedra
2019/Xuño;3109;238;Pontevedra
2019/Xullo;4017;256;Pontevedra
2019/Agosto;4099;253;Pontevedra
2019/Setembro;3535;246;Pontevedra
2019/Outubro;2766;223;Pontevedra
2019/Novembro;2143;191;Pontevedra
2019/Decembro;1806;189;Pontevedra
2020/Xaneiro;1568;158;Pontevedra
2020/Febreiro;1663;164;Pontevedra
2020/Marzo;1124;163;Pontevedra
2020/Abril;0;..;Pontevedra
2020/Maio;93;45;Pontevedra
2020/Xuño;980;126;Pontevedra
2020/Xullo;3072;250;Pontevedra
2020/Agosto;3274;243;Pontevedra
2020/Setembro;2346;231;Pontevedra
2020/Outubro;1567;198;Pontevedra
2020/Novembro;1071;127;Pontevedra
2020/Decembro;922;115;Pontevedra
2021/Xaneiro;833;106;Pontevedra
2021/Febreiro;699;100;Pontevedra
2021/Marzo;998;124;Pontevedra
2021/Abril;1073;163;Pontevedra
2021/Maio;1272;186;Pontevedra
2021/Xuño;2100;233;Pontevedra
2021/Xullo;3362;261;Pontevedra
2021/Agosto;3673;282;Pontevedra
2021/Setembro;3128;262;Pontevedra
2021/Outubro;2353;238;Pontevedra
2021/Novembro;1827;183;Pontevedra
2021/Decembro;1692;170;Pontevedra
2022/Xaneiro;1339;140;Pontevedra
2022/Febreiro;1530;152;Pontevedra
2022/Marzo;1666;196;Pontevedra
2022/Abril;2233;224;Pontevedra
2022/Maio;2389;259;Pontevedra
2022/Xuño;2983;279;Pontevedra
2022/Xullo;3757;311;Pontevedra
2022/Agosto;3815;330;Pontevedra
2022/Setembro;3413;300;Pontevedra
2022/Outubro;2640;261;Pontevedra
2022/Novembro;2069;218;Pontevedra
2022/Decembro;1810;203;Pontevedra
2023/Xaneiro;1389;146;Pontevedra
2023/Febreiro;1547;155;Pontevedra
2023/Marzo;1812;161;Pontevedra
2023/Abril;2304;184;Pontevedra
2023/Maio;2420;189;Pontevedra
2023/Xuño;2812;218;Pontevedra
2023/Xullo;3900;264;Pontevedra
