"Tipo_Aloxamento";"Ano";"Numero_Establecementos";"Area";"Area.1"
"1";"Hoteis";"2003";582;"GALICIA";12
"2";"Hoteis";"2004";630;"GALICIA";NA
"3";"Hoteis";"2005";678;"GALICIA";NA
"4";"Hoteis";"2006";722;"GALICIA";NA
"5";"Hoteis";"2007";767;"GALICIA";NA
"6";"Hoteis";"2008";810;"GALICIA";NA
"7";"Hoteis";"2009";839;"GALICIA";NA
"8";"Hoteis";"2010";855;"GALICIA";NA
"9";"Hoteis";"2011";875;"GALICIA";NA
"10";"Hoteis";"2012";889;"GALICIA";NA
"11";"Hoteis";"2013";894;"GALICIA";NA
"12";"Hoteis";"2017";887;"GALICIA";NA
"13";"Hoteis";"2018";893;"GALICIA";NA
"14";"Hoteis";"2019";902;"GALICIA";NA
"15";"Hoteis";"2020";911;"GALICIA";NA
"16";"Hoteis";"2021";912;"GALICIA";NA
"17";"Hoteis";"2022";927;"GALICIA";NA
"18";"Pensions";"2003";NA;"GALICIA";NA
"19";"Pensions";"2004";NA;"GALICIA";NA
"20";"Pensions";"2005";NA;"GALICIA";NA
"21";"Pensions";"2006";NA;"GALICIA";NA
"22";"Pensions";"2007";NA;"GALICIA";NA
"23";"Pensions";"2008";NA;"GALICIA";NA
"24";"Pensions";"2009";1093;"GALICIA";NA
"25";"Pensions";"2010";1116;"GALICIA";NA
"26";"Pensions";"2011";1161;"GALICIA";NA
"27";"Pensions";"2012";1319;"GALICIA";NA
"28";"Pensions";"2013";1261;"GALICIA";NA
"29";"Pensions";"2017";1139;"GALICIA";NA
"30";"Pensions";"2018";1167;"GALICIA";NA
"31";"Pensions";"2019";1210;"GALICIA";NA
"32";"Pensions";"2020";1264;"GALICIA";NA
"33";"Pensions";"2021";1300;"GALICIA";NA
"34";"Pensions";"2022";1315;"GALICIA";NA
"35";"Albergues turisticos";"2003";NA;"GALICIA";NA
"36";"Albergues turisticos";"2004";NA;"GALICIA";NA
"37";"Albergues turisticos";"2005";NA;"GALICIA";NA
"38";"Albergues turisticos";"2006";NA;"GALICIA";NA
"39";"Albergues turisticos";"2007";NA;"GALICIA";NA
"40";"Albergues turisticos";"2008";NA;"GALICIA";NA
"41";"Albergues turisticos";"2009";NA;"GALICIA";NA
"42";"Albergues turisticos";"2010";NA;"GALICIA";NA
"43";"Albergues turisticos";"2011";NA;"GALICIA";NA
"44";"Albergues turisticos";"2012";108;"GALICIA";NA
"45";"Albergues turisticos";"2013";135;"GALICIA";NA
"46";"Albergues turisticos";"2017";315;"GALICIA";NA
"47";"Albergues turisticos";"2018";360;"GALICIA";NA
"48";"Albergues turisticos";"2019";396;"GALICIA";NA
"49";"Albergues turisticos";"2020";419;"GALICIA";NA
"50";"Albergues turisticos";"2021";441;"GALICIA";NA
"51";"Albergues turisticos";"2022";461;"GALICIA";NA
"52";"Turismo rural";"2003";442;"GALICIA";NA
"53";"Turismo rural";"2004";468;"GALICIA";NA
"54";"Turismo rural";"2005";474;"GALICIA";NA
"55";"Turismo rural";"2006";521;"GALICIA";NA
"56";"Turismo rural";"2007";540;"GALICIA";NA
"57";"Turismo rural";"2008";575;"GALICIA";NA
"58";"Turismo rural";"2009";587;"GALICIA";NA
"59";"Turismo rural";"2010";586;"GALICIA";NA
"60";"Turismo rural";"2011";593;"GALICIA";NA
"61";"Turismo rural";"2012";600;"GALICIA";NA
"62";"Turismo rural";"2013";600;"GALICIA";NA
"63";"Turismo rural";"2017";575;"GALICIA";NA
"64";"Turismo rural";"2018";574;"GALICIA";NA
"65";"Turismo rural";"2019";566;"GALICIA";NA
"66";"Turismo rural";"2020";560;"GALICIA";NA
"67";"Turismo rural";"2021";550;"GALICIA";NA
"68";"Turismo rural";"2022";541;"GALICIA";NA
"69";"Campamentos de turismo";"2003";111;"GALICIA";NA
"70";"Campamentos de turismo";"2004";113;"GALICIA";NA
"71";"Campamentos de turismo";"2005";110;"GALICIA";NA
"72";"Campamentos de turismo";"2006";114;"GALICIA";NA
"73";"Campamentos de turismo";"2007";113;"GALICIA";NA
"74";"Campamentos de turismo";"2008";114;"GALICIA";NA
"75";"Campamentos de turismo";"2009";115;"GALICIA";NA
"76";"Campamentos de turismo";"2010";115;"GALICIA";NA
"77";"Campamentos de turismo";"2011";115;"GALICIA";NA
"78";"Campamentos de turismo";"2012";116;"GALICIA";NA
"79";"Campamentos de turismo";"2013";116;"GALICIA";NA
"80";"Campamentos de turismo";"2017";116;"GALICIA";NA
"81";"Campamentos de turismo";"2018";115;"GALICIA";NA
"82";"Campamentos de turismo";"2019";117;"GALICIA";NA
"83";"Campamentos de turismo";"2020";124;"GALICIA";NA
"84";"Campamentos de turismo";"2021";129;"GALICIA";NA
"85";"Campamentos de turismo";"2022";139;"GALICIA";NA
"86";"Apartamentos turisticos";"2003";NA;"GALICIA";NA
"87";"Apartamentos turisticos";"2004";NA;"GALICIA";NA
"88";"Apartamentos turisticos";"2005";NA;"GALICIA";NA
"89";"Apartamentos turisticos";"2006";73;"GALICIA";NA
"90";"Apartamentos turisticos";"2007";88;"GALICIA";NA
"91";"Apartamentos turisticos";"2008";98;"GALICIA";NA
"92";"Apartamentos turisticos";"2009";114;"GALICIA";NA
"93";"Apartamentos turisticos";"2010";120;"GALICIA";NA
"94";"Apartamentos turisticos";"2011";122;"GALICIA";NA
"95";"Apartamentos turisticos";"2012";144;"GALICIA";NA
"96";"Apartamentos turisticos";"2013";131;"GALICIA";NA
"97";"Apartamentos turisticos";"2017";213;"GALICIA";NA
"98";"Apartamentos turisticos";"2018";236;"GALICIA";NA
"99";"Apartamentos turisticos";"2019";258;"GALICIA";NA
"100";"Apartamentos turisticos";"2020";287;"GALICIA";NA
"101";"Apartamentos turisticos";"2021";314;"GALICIA";NA
"102";"Apartamentos turisticos";"2022";350;"GALICIA";NA
"103";"Vivendas turisticas";"2003";NA;"GALICIA";NA
"104";"Vivendas turisticas";"2004";NA;"GALICIA";NA
"105";"Vivendas turisticas";"2005";NA;"GALICIA";NA
"106";"Vivendas turisticas";"2006";NA;"GALICIA";NA
"107";"Vivendas turisticas";"2007";NA;"GALICIA";NA
"108";"Vivendas turisticas";"2008";NA;"GALICIA";NA
"109";"Vivendas turisticas";"2009";NA;"GALICIA";NA
"110";"Vivendas turisticas";"2010";NA;"GALICIA";NA
"111";"Vivendas turisticas";"2011";NA;"GALICIA";NA
"112";"Vivendas turisticas";"2012";NA;"GALICIA";NA
"113";"Vivendas turisticas";"2013";NA;"GALICIA";NA
"114";"Vivendas turisticas";"2017";200;"GALICIA";NA
"115";"Vivendas turisticas";"2018";236;"GALICIA";NA
